sku,nome_produto,custo_unitario,data_vigencia_inicio,observacao
N45X20BR5,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Branco - Solteiro,33.77,2026-06-01,
N45X20BR7,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Branco - Casal,46.3,2026-06-01,
N45X20BR8,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Branco - Queen,52.57,2026-06-01,
N45X20BR10,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Branco - King,65.1,2026-06-01,
N45X20BG5,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Bege - Solteiro,33.95,2026-06-01,
N45X20BG7,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Bege - Casal,46.55,2026-06-01,
N45X20BG8,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Bege - Queen,52.86,2026-06-01,
N45X20BG10,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Bege - King,65.46,2026-06-01,
N45X20MA5,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Azul Marinho - Solteiro,33.95,2026-06-01,
N45X20MA7,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Azul Marinho - Casal,46.55,2026-06-01,
N45X20MA8,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Azul Marinho - Queen,52.86,2026-06-01,
N45X20MA10,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Azul Marinho - King,65.46,2026-06-01,
N45X20AB5,Cabeceira de Cama Estofada Modular Nuvem Autoadesiva Sem Furos Painel MDF 45x20cm Azul Bebê - Solteiro,33.95,2026-06-01,
